day_of_week,hour,casual,registered,measurement_type,value
Sunday,21,1.0,19.0,count,20
Sunday,22,5.0,10.0,count,15
Sunday,23,0.0,6.0,count,6
Monday,0,2.0,3.0,count,5
Monday,1,1.0,0.0,count,1
Monday,2,0.0,3.0,count,3
Monday,3,0.0,1.0,count,1
Monday,4,1.0,2.0,count,3
Monday,5,0.0,3.0,count,3
Monday,6,0.0,31.0,count,31
Monday,7,2.0,75.0,count,77
Monday,8,4.0,184.0,count,188
Monday,9,2.0,92.0,count,94
Monday,10,0.0,31.0,count,31
Monday,11,2.0,28.0,count,30
Monday,12,5.0,47.0,count,52
Monday,13,4.0,50.0,count,54
Monday,14,0.0,47.0,count,47
Monday,15,2.0,43.0,count,45
Monday,16,4.0,70.0,count,74
Monday,17,4.0,174.0,count,178
Monday,18,1.0,154.0,count,155
Monday,19,3.0,92.0,count,95
Monday,20,1.0,73.0,count,74
Monday,21,1.0,37.0,count,38
Monday,22,2.0,22.0,count,24
Monday,23,0.0,18.0,count,18
Tuesday,0,2.0,10.0,count,12
Tuesday,1,0.0,3.0,count,3
Tuesday,2,0.0,3.0,count,3
Tuesday,5,0.0,6.0,count,6
Tuesday,6,0.0,27.0,count,27
Tuesday,7,2.0,97.0,count,99
Tuesday,8,3.0,214.0,count,217
Tuesday,9,3.0,127.0,count,130
Tuesday,10,3.0,51.0,count,54
Tuesday,11,4.0,31.0,count,35
Tuesday,12,2.0,55.0,count,57
Tuesday,13,6.0,46.0,count,52
Tuesday,14,3.0,60.0,count,63
Tuesday,15,2.0,45.0,count,47
Tuesday,16,4.0,72.0,count,76
Tuesday,17,6.0,130.0,count,136
Tuesday,18,1.0,94.0,count,95
Tuesday,19,0.0,51.0,count,51
Tuesday,20,0.0,32.0,count,32
Tuesday,21,0.0,20.0,count,20
Tuesday,22,1.0,28.0,count,29
Tuesday,23,1.0,18.0,count,19
Wednesday,0,0.0,7.0,count,7
Wednesday,1,0.0,6.0,count,6
Wednesday,2,0.0,1.0,count,1
Wednesday,5,0.0,5.0,count,5
Wednesday,6,0.0,16.0,count,16
Wednesday,7,0.0,54.0,count,54
Wednesday,8,3.0,125.0,count,128
Wednesday,9,3.0,78.0,count,81
Wednesday,10,0.0,39.0,count,39
Wednesday,11,3.0,32.0,count,35
Wednesday,12,3.0,52.0,count,55
Wednesday,13,0.0,49.0,count,49
Wednesday,14,0.0,44.0,count,44
Wednesday,15,1.0,48.0,count,49
Wednesday,16,5.0,63.0,count,68
Wednesday,17,0.0,139.0,count,139
Wednesday,18,2.0,135.0,count,137
Wednesday,19,1.0,82.0,count,83
Wednesday,20,2.0,54.0,count,56
Wednesday,21,0.0,57.0,count,57
Wednesday,22,1.0,32.0,count,33
Wednesday,23,1.0,19.0,count,20
Thursday,0,1.0,6.0,count,7
Thursday,1,0.0,2.0,count,2
Thursday,2,0.0,2.0,count,2
Thursday,3,0.0,3.0,count,3
Thursday,4,0.0,4.0,count,4
Thursday,5,0.0,3.0,count,3
Thursday,6,0.0,28.0,count,28
Thursday,7,0.0,72.0,count,72
Thursday,8,5.0,197.0,count,202
Thursday,9,2.0,137.0,count,139
Thursday,10,2.0,36.0,count,38
Thursday,11,4.0,33.0,count,37
Thursday,12,3.0,49.0,count,52
Thursday,13,2.0,81.0,count,83
Thursday,14,3.0,39.0,count,42
Thursday,15,5.0,55.0,count,60
Thursday,16,2.0,76.0,count,78
Thursday,17,4.0,158.0,count,162
Thursday,18,3.0,141.0,count,144
Thursday,19,1.0,98.0,count,99
Thursday,20,0.0,64.0,count,64
Thursday,21,0.0,40.0,count,40
Thursday,22,0.0,30.0,count,30
Thursday,23,1.0,14.0,count,15
Friday,0,0.0,14.0,count,14
Friday,1,0.0,5.0,count,5
Friday,2,0.0,1.0,count,1
Friday,3,0.0,1.0,count,1
Friday,5,0.0,8.0,count,8
Friday,6,0.0,17.0,count,17
Friday,7,0.0,70.0,count,70
Friday,8,2.0,156.0,count,158
Friday,9,0.0,117.0,count,117
Friday,10,4.0,40.0,count,44
Friday,11,6.0,47.0,count,53
Friday,12,2.0,59.0,count,61
Friday,13,4.0,73.0,count,77
Friday,14,5.0,59.0,count,64
Friday,15,9.0,59.0,count,68
Friday,16,3.0,87.0,count,90
Friday,17,4.0,155.0,count,159
Friday,18,5.0,134.0,count,139
Friday,19,3.0,89.0,count,92
Friday,20,0.0,68.0,count,68
Friday,21,4.0,48.0,count,52
Friday,22,2.0,34.0,count,36
Friday,23,1.0,26.0,count,27
Saturday,0,3.0,25.0,count,28
Saturday,1,2.0,18.0,count,20
Saturday,2,0.0,12.0,count,12
Saturday,3,1.0,7.0,count,8
Saturday,4,0.0,5.0,count,5
Saturday,5,0.0,1.0,count,1
Saturday,6,1.0,2.0,count,3
Saturday,7,1.0,9.0,count,10
Saturday,8,1.0,22.0,count,23
Saturday,9,2.0,31.0,count,33
Saturday,10,2.0,57.0,count,59
Saturday,11,18.0,54.0,count,72
Saturday,12,15.0,74.0,count,89
Saturday,13,21.0,80.0,count,101
Saturday,14,26.0,92.0,count,118
Saturday,15,21.0,108.0,count,129
Saturday,16,33.0,95.0,count,128
Saturday,17,29.0,54.0,count,83
Saturday,18,15.0,69.0,count,84
Saturday,19,14.0,60.0,count,74
Saturday,20,6.0,35.0,count,41
Saturday,21,6.0,51.0,count,57
Saturday,22,0.0,26.0,count,26
Saturday,23,5.0,39.0,count,44
Sunday,0,6.0,33.0,count,39
Sunday,1,4.0,19.0,count,23
Sunday,2,3.0,13.0,count,16
Sunday,3,9.0,6.0,count,15
Sunday,4,0.0,1.0,count,1
Sunday,5,1.0,1.0,count,2
Sunday,6,0.0,1.0,count,1
Sunday,7,0.0,3.0,count,3
Sunday,8,0.0,18.0,count,18
Sunday,9,3.0,29.0,count,32
Sunday,10,8.0,71.0,count,79
Sunday,11,23.0,70.0,count,93
Sunday,12,29.0,75.0,count,104
Sunday,13,23.0,95.0,count,118
Sunday,14,22.0,69.0,count,91
Sunday,15,35.0,78.0,count,113
Sunday,16,22.0,77.0,count,99
Sunday,17,23.0,82.0,count,105
Sunday,18,11.0,56.0,count,67
Sunday,19,14.0,47.0,count,61
Sunday,20,7.0,50.0,count,57
Sunday,21,6.0,22.0,count,28
Sunday,22,2.0,19.0,count,21
Sunday,23,0.0,18.0,count,18
Monday,0,1.0,16.0,count,17
Monday,1,1.0,15.0,count,16
Monday,2,0.0,8.0,count,8
Monday,3,0.0,2.0,count,2
Monday,4,1.0,2.0,count,3
Monday,5,0.0,1.0,count,1
Monday,6,0.0,5.0,count,5
Monday,7,4.0,9.0,count,13
Monday,8,3.0,30.0,count,33
Monday,9,8.0,39.0,count,47
Monday,10,7.0,50.0,count,57
Monday,11,9.0,55.0,count,64
Monday,12,10.0,70.0,count,80
Monday,13,13.0,80.0,count,93
Monday,14,12.0,74.0,count,86
Monday,15,21.0,72.0,count,93
Monday,16,6.0,76.0,count,82
Monday,17,4.0,67.0,count,71
Monday,18,7.0,85.0,count,92
Monday,19,2.0,58.0,count,60
Monday,20,4.0,29.0,count,33
Monday,21,3.0,24.0,count,27
Monday,22,0.0,13.0,count,13
Monday,23,1.0,3.0,count,4
Tuesday,12,0.0,3.0,count,3
Tuesday,13,0.0,22.0,count,22
Tuesday,14,2.0,26.0,count,28
Tuesday,15,3.0,32.0,count,35
Tuesday,16,0.0,61.0,count,61
Tuesday,17,1.0,124.0,count,125
Tuesday,18,1.0,132.0,count,133
Tuesday,19,1.0,98.0,count,99
Tuesday,20,0.0,83.0,count,83
Tuesday,21,0.0,41.0,count,41
Tuesday,22,0.0,33.0,count,33
Tuesday,23,1.0,19.0,count,20
Wednesday,0,0.0,3.0,count,3
Wednesday,1,1.0,6.0,count,7
Wednesday,2,0.0,3.0,count,3
Wednesday,4,1.0,1.0,count,2
Wednesday,5,0.0,7.0,count,7
Wednesday,6,0.0,32.0,count,32
Wednesday,7,1.0,89.0,count,90
Wednesday,8,1.0,196.0,count,197
Wednesday,9,2.0,107.0,count,109
Wednesday,10,1.0,46.0,count,47
Wednesday,11,5.0,47.0,count,52
Wednesday,12,5.0,65.0,count,70
Wednesday,13,11.0,67.0,count,78
Wednesday,14,7.0,68.0,count,75
Wednesday,15,4.0,78.0,count,82
Wednesday,16,10.0,94.0,count,104
Wednesday,17,7.0,190.0,count,197
Wednesday,18,5.0,156.0,count,161
Wednesday,19,4.0,108.0,count,112
Wednesday,20,2.0,74.0,count,76
Wednesday,21,4.0,55.0,count,59
Wednesday,22,6.0,53.0,count,59
Wednesday,23,1.0,27.0,count,28
Thursday,0,,,count,33
Thursday,1,,,count,15
Thursday,2,,,count,9
Thursday,3,,,count,8
Thursday,4,,,count,7
Thursday,5,,,count,22
Thursday,6,,,count,96
Thursday,7,,,count,283
Thursday,8,,,count,526
Thursday,9,,,count,195
Thursday,10,,,count,133
Thursday,11,,,count,111
Thursday,12,,,count,125
Thursday,13,,,count,117
Thursday,14,,,count,103
Thursday,15,,,count,122
Thursday,16,,,count,151
Thursday,17,,,count,280
Thursday,18,,,count,251
Thursday,19,,,count,256
Thursday,20,,,count,125
Thursday,21,,,count,86
Thursday,22,,,count,66
Thursday,23,,,count,42
Friday,0,,,count,21
Friday,1,,,count,12
Friday,2,,,count,5
Friday,3,,,count,3
Friday,4,,,count,2
Friday,5,,,count,20
Friday,6,,,count,74
Friday,7,,,count,199
Friday,8,,,count,416
Friday,9,,,count,225
Friday,10,,,count,117
Friday,11,,,count,140
Friday,12,,,count,181
Friday,13,,,count,166
Friday,14,,,count,141
Friday,15,,,count,134
Friday,16,,,count,155
Friday,17,,,count,233
Friday,18,,,count,169
Friday,19,,,count,133
Friday,20,,,count,81
Friday,21,,,count,51
Friday,22,,,count,45
Friday,23,,,count,34
Saturday,0,,,count,26
Saturday,1,,,count,17
Saturday,2,,,count,14
Saturday,3,,,count,7
Saturday,4,,,count,3
Saturday,6,,,count,6
Saturday,7,,,count,18
Saturday,8,,,count,47
Saturday,9,,,count,76
Saturday,10,,,count,67
Saturday,11,,,count,78
Saturday,12,,,count,83
Saturday,13,,,count,101
Saturday,14,,,count,106
Saturday,15,,,count,116
Saturday,16,,,count,104
Saturday,17,,,count,86
Saturday,18,,,count,75
Saturday,19,,,count,64
Saturday,20,,,count,40
Saturday,21,,,count,34
Saturday,22,,,count,30
Saturday,23,,,count,24
Sunday,0,,,count,23
Sunday,1,,,count,22
Sunday,2,,,count,15
Sunday,3,,,count,7
Sunday,5,,,count,3
Sunday,6,,,count,6
Sunday,7,,,count,18
Sunday,8,,,count,39
Sunday,9,,,count,81
Sunday,10,,,count,139
Sunday,11,,,count,149
Sunday,12,,,count,192
Sunday,13,,,count,173
Sunday,14,,,count,174
Sunday,15,,,count,172
Sunday,16,,,count,153
Sunday,17,,,count,131
Sunday,18,,,count,99
Sunday,19,,,count,87
Sunday,20,,,count,54
Sunday,21,,,count,39
Sunday,22,,,count,30
Sunday,23,,,count,19
Monday,0,,,count,5
Monday,1,,,count,3
Monday,3,,,count,1
Monday,4,,,count,1
Monday,5,,,count,3
Monday,6,,,count,17
Monday,7,,,count,49
Monday,8,,,count,112
Monday,9,,,count,56
Monday,10,,,count,31
Monday,11,,,count,35
Monday,12,,,count,47
Monday,13,,,count,48
Monday,14,,,count,42
Monday,15,,,count,54
Monday,16,,,count,71
Monday,17,,,count,127
Monday,18,,,count,116
Monday,19,,,count,89
Monday,20,,,count,57
Monday,21,,,count,40
Monday,22,,,count,25
Monday,23,,,count,15
Tuesday,0,,,count,8
Tuesday,1,,,count,5
Tuesday,2,,,count,4
Tuesday,4,,,count,2
Tuesday,5,,,count,7
Tuesday,6,,,count,42
Tuesday,7,,,count,117
Tuesday,8,,,count,209
Tuesday,9,,,count,120
Tuesday,10,,,count,58
Tuesday,11,,,count,62
Tuesday,12,,,count,83
Tuesday,13,,,count,82
Tuesday,14,,,count,78
Tuesday,15,,,count,89
Tuesday,16,,,count,129
Tuesday,17,,,count,258
Tuesday,18,,,count,243
Tuesday,19,,,count,140
Tuesday,20,,,count,98
Tuesday,21,,,count,71
Tuesday,22,,,count,50
Tuesday,23,,,count,25
Wednesday,0,,,count,11
Wednesday,1,,,count,8
Wednesday,2,,,count,3
Wednesday,5,,,count,4
Wednesday,6,,,count,16
Wednesday,7,,,count,39
Wednesday,8,,,count,79
Wednesday,9,,,count,41
Wednesday,10,,,count,15
Wednesday,11,,,count,14
Wednesday,12,,,count,16
Wednesday,13,,,count,13
Wednesday,14,,,count,11
Wednesday,15,,,count,13
Wednesday,16,,,count,32
Wednesday,17,,,count,38
Thursday,16,,,count,96
Thursday,17,,,count,182
Thursday,18,,,count,144
Thursday,19,,,count,115
Thursday,20,,,count,75
Thursday,21,,,count,57
Thursday,22,,,count,45
Thursday,23,,,count,28
Friday,0,,,count,15
Friday,1,,,count,9
Friday,2,,,count,6
Friday,3,,,count,4
Friday,5,,,count,8
Friday,6,,,count,36
Friday,7,,,count,89
Friday,8,,,count,190
Friday,9,,,count,61
Friday,10,,,count,27
Friday,11,,,count,24
Friday,12,,,count,26
Friday,13,,,count,24
Friday,14,,,count,31
Friday,15,,,count,48
Friday,16,,,count,76
Friday,17,,,count,153
Friday,18,,,count,132
Friday,19,,,count,101
Friday,20,,,count,71
Friday,21,,,count,49
Friday,22,,,count,57
Friday,23,,,count,47
Saturday,0,,,count,33
Saturday,1,,,count,29
Saturday,2,,,count,22
Saturday,3,,,count,10
Saturday,4,,,count,3
Saturday,6,,,count,11
Saturday,7,,,count,21
Saturday,8,,,count,56
Saturday,9,,,count,85
Saturday,10,,,count,81
Saturday,11,,,count,86
Saturday,12,,,count,102
Saturday,13,,,count,111
Saturday,14,,,count,99
Saturday,15,,,count,101
Saturday,16,,,count,107
Saturday,17,,,count,103
Saturday,18,,,count,74
Saturday,19,,,count,59
Saturday,20,,,count,44
Saturday,21,,,count,40
Saturday,22,,,count,32
Saturday,23,,,count,28
Sunday,0,,,count,25
Sunday,1,,,count,21
Sunday,2,,,count,17
Sunday,3,,,count,6
Sunday,4,,,count,2
Sunday,5,,,count,3
Sunday,7,,,count,15
Sunday,8,,,count,30
Sunday,9,,,count,55
Sunday,10,,,count,76
Sunday,11,,,count,114
Sunday,12,,,count,204
Sunday,13,,,count,172
Sunday,14,,,count,157
Sunday,15,,,count,175
Sunday,16,,,count,158
Sunday,17,,,count,141
Sunday,18,,,count,96
Sunday,19,,,count,88
Sunday,20,,,count,59
Sunday,21,,,count,40
Sunday,22,,,count,33
Sunday,23,,,count,22
Monday,0,,,count,10
Monday,1,,,count,6
Monday,2,,,count,4
Monday,3,,,count,3
Monday,4,,,count,2
Monday,5,,,count,6
Monday,6,,,count,27
Monday,7,,,count,77
Monday,8,,,count,162
Monday,9,,,count,74
Monday,10,,,count,31
Monday,11,,,count,34
Monday,12,,,count,49
Monday,13,,,count,38
Monday,14,,,count,38
Monday,15,,,count,37
Monday,16,,,count,50
Monday,17,,,count,92
Monday,18,,,count,92
Monday,19,,,count,137
Monday,20,,,count,32
Monday,21,,,count,23
Monday,22,,,count,22
Monday,23,,,count,12
Tuesday,0,2.0,6.0,count,8
Tuesday,1,0.0,3.0,count,3
Tuesday,2,0.0,2.0,count,2
Tuesday,3,0.0,2.0,count,2
Tuesday,5,0.0,3.0,count,3
Tuesday,6,0.0,22.0,count,22
Tuesday,7,0.0,52.0,count,52
Tuesday,8,3.0,132.0,count,135
Tuesday,9,2.0,114.0,count,116
Tuesday,10,0.0,47.0,count,47
Tuesday,11,2.0,49.0,count,51
Tuesday,12,2.0,53.0,count,55
Tuesday,13,3.0,49.0,count,52
Tuesday,14,5.0,49.0,count,54
Tuesday,15,7.0,45.0,count,52
Tuesday,16,3.0,61.0,count,64
Tuesday,17,4.0,172.0,count,176
Tuesday,18,3.0,165.0,count,168
Tuesday,19,3.0,105.0,count,108
Tuesday,20,5.0,69.0,count,74
Tuesday,21,0.0,64.0,count,64
Tuesday,22,2.0,34.0,count,36
Tuesday,23,1.0,15.0,count,16
Wednesday,0,0.0,2.0,count,2
Wednesday,1,0.0,3.0,count,3
Wednesday,2,4.0,0.0,count,4
Wednesday,3,0.0,1.0,count,1
Wednesday,4,0.0,1.0,count,1
Wednesday,5,0.0,3.0,count,3
Wednesday,6,1.0,17.0,count,18
Wednesday,7,1.0,48.0,count,49
Wednesday,8,1.0,154.0,count,155
Wednesday,9,4.0,119.0,count,123
Wednesday,10,2.0,59.0,count,61
Wednesday,11,5.0,47.0,count,52
Wednesday,12,3.0,61.0,count,64
Wednesday,13,1.0,74.0,count,75
Wednesday,14,2.0,61.0,count,63
Wednesday,15,10.0,66.0,count,76
Wednesday,16,8.0,95.0,count,103
Wednesday,17,7.0,183.0,count,190
Wednesday,18,7.0,175.0,count,182
Wednesday,19,3.0,88.0,count,91
Wednesday,20,4.0,71.0,count,75
Wednesday,21,1.0,62.0,count,63
Wednesday,22,5.0,35.0,count,40
Wednesday,23,3.0,29.0,count,32
Thursday,0,1.0,11.0,count,12
Thursday,1,0.0,5.0,count,5
Thursday,2,0.0,2.0,count,2
Thursday,3,0.0,1.0,count,1
Thursday,5,0.0,2.0,count,2
Thursday,6,0.0,39.0,count,39
Thursday,7,1.0,86.0,count,87
Thursday,8,4.0,184.0,count,188
Thursday,9,6.0,127.0,count,133
Thursday,10,2.0,50.0,count,52
Thursday,11,9.0,55.0,count,64
Thursday,12,2.0,67.0,count,69
Thursday,13,4.0,47.0,count,51
Thursday,14,4.0,43.0,count,47
Thursday,15,4.0,56.0,count,60
Thursday,16,5.0,73.0,count,78
Thursday,17,5.0,170.0,count,175
Thursday,18,2.0,145.0,count,147
Thursday,19,4.0,92.0,count,96
Thursday,20,1.0,108.0,count,109
Thursday,21,1.0,53.0,count,54
Thursday,22,2.0,39.0,count,41
Thursday,23,4.0,34.0,count,38
Friday,0,3.0,10.0,count,13
Friday,1,0.0,7.0,count,7
Friday,2,0.0,1.0,count,1
Friday,3,0.0,1.0,count,1
Friday,5,0.0,7.0,count,7
Friday,6,2.0,26.0,count,28
Friday,7,0.0,87.0,count,87
Friday,8,3.0,217.0,count,220
Friday,9,3.0,124.0,count,127
Friday,10,5.0,46.0,count,51
Friday,11,3.0,61.0,count,64
Friday,12,8.0,78.0,count,86
Friday,13,9.0,73.0,count,82
Friday,14,15.0,76.0,count,91
Friday,15,9.0,81.0,count,90
Friday,16,8.0,91.0,count,99
Friday,17,10.0,195.0,count,205
Friday,18,3.0,152.0,count,155
Friday,19,1.0,102.0,count,103
Friday,20,2.0,69.0,count,71
Friday,21,2.0,41.0,count,43
Friday,22,1.0,45.0,count,46
Friday,23,1.0,30.0,count,31
Saturday,0,3.0,36.0,count,39
Saturday,1,1.0,17.0,count,18
Saturday,2,5.0,12.0,count,17
Saturday,3,1.0,10.0,count,11
Saturday,4,0.0,8.0,count,8
Saturday,5,0.0,9.0,count,9
Saturday,6,0.0,4.0,count,4
Saturday,7,0.0,4.0,count,4
Saturday,8,0.0,10.0,count,10
Saturday,9,3.0,17.0,count,20
Saturday,10,3.0,31.0,count,34
Saturday,11,1.0,46.0,count,47
Saturday,12,10.0,42.0,count,52
Saturday,13,10.0,62.0,count,72
Saturday,14,5.0,50.0,count,55
Saturday,15,11.0,49.0,count,60
Saturday,16,8.0,63.0,count,71
Saturday,17,14.0,64.0,count,78
Saturday,18,2.0,81.0,count,83
Saturday,19,6.0,78.0,count,84
Saturday,20,5.0,64.0,count,69
Saturday,21,3.0,53.0,count,56
Saturday,22,2.0,43.0,count,45
Saturday,23,7.0,52.0,count,59
Sunday,0,2.0,37.0,count,39
Sunday,1,4.0,40.0,count,44
Sunday,2,0.0,20.0,count,20
Sunday,3,3.0,10.0,count,13
Sunday,4,0.0,2.0,count,2
Sunday,5,0.0,1.0,count,1
Sunday,6,0.0,1.0,count,1
Sunday,7,0.0,8.0,count,8
Sunday,8,2.0,21.0,count,23
Sunday,9,7.0,38.0,count,45
Sunday,10,15.0,74.0,count,89
